jam_penggunaan_media_sosial,jam_bermain_game,jam_streaming,jam_pemakaian_aplikasi_pesan,level_stress,kategori
0.84,0.0,3.36,1.44,95.8,stress
3.13,2.5,0.8,2.42,25.03,tidak stress
2.12,1.96,1.84,1.98,99.54,stress
1.6,2.7,1.9,2.43,66.49,stress
1.51,1.73,1.48,1.3,14.72,tidak stress
2.28,2.49,0.97,1.39,63.04,stress
1.75,2.07,0.33,1.58,83.2,stress
2.13,2.99,1.67,2.06,62.53,stress
2.02,0.49,2.41,1.6,95.94,stress
2.27,0.0,2.44,1.37,33.65,tidak stress
1.46,2.47,2.14,1.36,9.31,tidak stress
2.58,1.89,2.42,0.98,69.66,stress
1.12,0.69,1.26,1.63,23.15,tidak stress
3.16,2.58,2.25,1.02,79.94,stress
2.64,0.78,1.55,1.21,77.97,stress
2.43,1.86,4.63,2.34,16.43,tidak stress
1.29,1.72,1.44,1.16,77.2,stress
1.38,0.0,1.27,1.99,41.25,tidak stress
0.0,0.34,1.88,1.23,16.75,tidak stress
2.87,0.51,2.44,1.11,72.57,stress
2.2,0.11,1.7,0.44,29.0,tidak stress
1.39,2.58,1.65,1.82,62.92,stress
1.25,0.81,1.11,1.58,64.97,stress
3.55,2.35,0.58,1.9,78.69,stress
0.84,1.82,1.55,1.8,56.49,stress
2.58,0.22,1.15,1.9,45.07,tidak stress
2.48,1.25,3.64,1.13,31.97,tidak stress
1.3,3.61,1.52,1.43,37.18,tidak stress
1.94,1.09,1.76,0.63,97.24,stress
0.56,0.0,1.93,0.76,40.77,tidak stress
3.4,2.39,2.24,1.06,97.16,stress
0.47,1.87,2.34,1.44,36.4,tidak stress
0.61,1.54,3.28,0.9,75.19,stress
2.4,2.31,1.83,1.15,64.49,stress
2.16,2.41,2.47,0.63,65.33,stress
1.17,0.34,1.4,2.79,24.48,tidak stress
3.29,0.0,0.04,1.52,95.05,stress
4.17,0.7,4.16,1.51,72.13,stress
1.81,0.71,1.23,2.17,8.49,tidak stress
1.83,0.31,1.66,1.25,98.84,stress
3.66,0.0,2.25,1.66,99.88,stress
2.67,1.92,3.25,2.16,63.77,stress
2.81,1.21,3.73,2.01,76.86,stress
2.69,2.99,1.73,1.26,65.26,stress
0.72,0.48,4.21,1.73,89.11,stress
2.15,2.12,2.05,1.98,95.95,stress
1.24,1.58,1.85,2.15,32.51,tidak stress
2.07,0.66,3.28,0.66,34.39,tidak stress
2.59,0.99,0.74,1.09,55.28,stress
1.34,3.93,3.21,1.65,42.98,tidak stress
3.43,1.07,1.67,1.94,76.9,stress
1.52,0.0,0.0,1.34,2.16,tidak stress
1.77,0.89,1.81,0.94,58.22,stress
0.99,1.03,2.06,1.14,70.19,stress
2.71,0.24,1.65,1.88,59.98,stress
2.82,2.06,1.93,0.75,98.91,stress
0.0,1.09,3.39,2.25,62.79,stress
4.05,2.61,0.0,1.62,30.55,tidak stress
3.31,1.78,2.24,1.15,49.47,tidak stress
1.85,0.0,0.59,1.22,70.9,stress
1.19,2.02,0.65,2.23,34.35,tidak stress
3.4,4.86,1.97,2.31,87.64,stress
0.0,1.43,2.78,1.68,45.3,tidak stress
2.7,0.41,0.0,0.76,14.5,tidak stress
0.25,1.1,0.0,1.81,6.84,tidak stress
1.79,1.0,0.93,1.27,83.94,stress
1.05,1.96,1.17,1.92,56.05,stress
3.24,2.05,0.72,0.86,16.22,tidak stress
4.07,0.89,0.67,1.43,18.05,tidak stress
2.99,0.55,1.73,1.35,67.93,stress
1.89,2.75,2.68,1.5,38.73,tidak stress
3.01,1.5,2.25,1.31,68.99,stress
2.08,1.34,2.26,1.34,27.69,tidak stress
2.28,1.09,2.98,1.15,63.99,stress
3.17,3.63,1.5,1.45,35.29,tidak stress
3.59,1.33,1.7,1.84,56.5,stress
1.13,0.79,3.15,1.13,46.61,tidak stress
1.56,1.24,1.35,0.9,89.63,stress
0.79,0.36,2.05,1.41,60.8,stress
1.75,1.33,0.36,2.18,65.72,stress
2.24,1.73,2.11,1.47,77.15,stress
1.92,0.56,4.27,0.96,19.54,tidak stress
1.97,1.24,2.36,0.95,50.02,stress
1.81,2.72,2.64,1.71,84.52,stress
2.53,1.3,3.14,1.82,94.93,stress
1.24,0.64,2.58,1.52,83.53,stress
2.12,1.18,1.97,1.58,20.71,tidak stress
0.78,2.53,3.32,1.96,71.97,stress
0.8,1.61,2.4,1.19,27.53,tidak stress
1.7,2.51,2.81,2.41,34.74,tidak stress
1.2,1.77,2.1,0.82,41.89,tidak stress
3.49,1.53,2.42,1.77,66.08,stress
2.02,1.41,2.96,0.75,34.64,tidak stress
2.01,0.51,1.01,2.05,1.23,tidak stress
1.78,2.55,1.62,1.43,1.79,tidak stress
1.01,2.07,1.8,1.7,57.63,stress
3.03,2.51,2.64,0.66,38.25,tidak stress
2.78,0.16,1.19,1.81,10.32,tidak stress
1.63,1.11,0.96,2.63,14.66,tidak stress
0.29,2.67,2.06,1.11,26.55,tidak stress
2.73,1.76,0.72,1.5,36.84,tidak stress
1.91,1.74,1.38,1.88,23.79,tidak stress
3.25,0.92,3.18,1.74,53.7,stress
3.38,2.17,1.21,1.37,20.23,tidak stress
3.78,0.92,1.65,1.59,26.99,tidak stress
0.92,1.85,3.54,1.47,72.57,stress
2.22,1.16,1.56,0.64,35.96,tidak stress
1.04,2.06,1.68,1.67,91.08,stress
2.36,1.12,3.24,1.35,68.94,stress
2.52,0.0,1.2,1.77,95.88,stress
0.36,1.92,1.45,1.77,70.23,stress
1.87,1.68,1.56,1.57,76.5,stress
1.59,3.11,0.62,1.33,97.11,stress
1.4,2.3,3.01,0.71,5.37,tidak stress
3.0,1.67,2.44,1.84,33.94,tidak stress
2.0,2.3,1.42,1.08,95.48,stress
1.7,1.44,1.31,1.36,76.13,stress
2.53,1.86,0.35,1.58,32.06,tidak stress
2.7,1.42,0.95,2.13,1.82,tidak stress
2.38,0.0,1.11,1.31,93.06,stress
2.11,2.68,2.38,1.21,72.87,stress
2.71,1.04,0.39,1.55,32.69,tidak stress
2.95,2.26,3.53,1.36,64.11,stress
2.48,1.95,3.96,0.61,93.37,stress
2.21,1.48,3.08,0.78,82.27,stress
2.18,1.53,1.66,1.47,47.92,tidak stress
1.73,1.17,0.03,1.4,88.43,stress
2.47,0.0,1.98,1.32,15.3,tidak stress
2.26,0.33,1.89,2.11,4.51,tidak stress
3.89,1.46,1.11,1.63,24.76,tidak stress
1.54,0.75,2.57,0.93,65.42,stress
2.74,0.0,2.43,1.27,22.32,tidak stress
1.36,1.28,0.77,1.81,76.29,stress
0.0,1.43,2.94,1.03,14.26,tidak stress
0.17,2.59,1.8,2.0,39.39,tidak stress
1.59,0.59,2.32,1.42,36.14,tidak stress
0.0,1.8,0.63,1.54,9.73,tidak stress
2.66,1.55,1.52,2.25,72.53,stress
2.08,2.2,0.69,0.96,30.42,tidak stress
0.14,2.33,0.97,0.88,96.29,stress
2.42,1.7,2.99,1.85,41.86,tidak stress
0.86,1.69,2.48,2.08,62.76,stress
3.89,0.93,1.02,1.43,68.17,stress
1.68,2.78,1.37,1.31,82.02,stress
0.95,0.9,1.9,1.93,93.65,stress
1.68,1.89,0.0,2.44,6.67,tidak stress
0.76,2.4,1.97,0.39,53.37,stress
2.2,1.16,3.57,1.97,43.98,tidak stress
2.27,1.65,0.33,1.08,47.75,tidak stress
2.35,0.57,2.32,2.0,61.37,stress
1.47,2.69,0.83,1.66,4.35,tidak stress
1.63,0.8,1.64,1.57,30.15,tidak stress
1.29,4.08,1.11,1.32,20.58,tidak stress
4.17,1.26,2.12,1.86,69.23,stress
1.47,2.96,1.95,1.36,18.5,tidak stress
0.67,0.0,2.78,1.96,50.53,stress
1.34,0.0,3.09,1.64,45.61,tidak stress
1.74,1.56,1.29,2.16,70.29,stress
2.97,2.43,1.14,1.59,30.87,tidak stress
1.49,0.79,3.61,1.08,71.44,stress
